AgentID,FullName,TeamID,Role,Specialisms,Hub,DailyCapacity,IsActive
60,Liam Robinson,4,Senior Agent,"Billing Issue,Complaint,Document Request,Insurance Query",Leeds,19,1
61,Declan Bakare,4,Team Lead,"Complaint,Billing Issue,Appointment Change",Leeds,8,0
62,Isabella Bakare,4,Agent,Complaint,Leeds,21,1
63,Roisín Kofi,4,Agent,"Insurance Query,Complaint,Document Request",Leeds,26,1
64,Sunita Walsh,4,Agent,"Billing Issue,Complaint",Leeds,26,1
65,Daniel O'Sullivan,4,Agent,"Document Request,Complaint",Leeds,28,1
66,Charlotte Woźniak,4,Senior Agent,"Billing Issue,Insurance Query,Document Request",Leeds,19,1
67,Lily Chaudhry,4,Agent,Complaint,Leeds,20,1
68,Dev Wilson,4,Agent,"Document Request,Complaint",Leeds,24,1
69,Maya Nowak,4,Senior Agent,"Document Request,Appointment Change,Insurance Query",Leeds,17,0
70,Bridget Woźniak,4,Agent,"Complaint,Document Request",Leeds,23,1
71,Parveen Campbell,6,Agent,"Insurance Query,Billing Issue",Birmingham,22,1
72,Patrick Williams,6,Senior Agent,"Complaint,Insurance Query,Appointment Change",Birmingham,17,1
73,Noah Taylor,6,Agent,"Billing Issue,Appointment Change",Birmingham,18,1
74,Lily Murphy,6,Agent,Document Request,Birmingham,21,1
75,Nadia Bakare,6,Agent,Document Request,Birmingham,28,1
76,Henry Anderson,6,Senior Agent,"Billing Issue,Appointment Change,Complaint",Birmingham,20,1
77,Zara Roberts,6,Agent,"Complaint,Document Request,Insurance Query",Birmingham,22,1
78,Angus Davies,6,Team Lead,"Billing Issue,Appointment Change,Insurance Query,Document Request,Complaint",Birmingham,14,1
79,Lucy Jones,6,Agent,"Insurance Query,Appointment Change,Document Request",Birmingham,24,1
80,Eleanor Nwosu,6,Agent,Complaint,Birmingham,25,1
81,Benjamin Szymański,6,Agent,Document Request,Birmingham,24,1
82,Grace O'Brien,6,Agent,"Document Request,Insurance Query",Birmingham,25,1
83,Ananya Fraser,6,Agent,"Complaint,Billing Issue",Birmingham,19,1
84,Nadia Ross,6,Agent,"Billing Issue,Complaint",Birmingham,25,1
85,Morag Jones,6,Agent,"Document Request,Insurance Query",Birmingham,23,1
86,Ciarán Murphy,6,Senior Agent,"Billing Issue,Complaint",Birmingham,15,1
87,Olivia McCarthy,6,Agent,"Complaint,Document Request,Appointment Change",Birmingham,28,1
88,Patrick Zieliński,6,Senior Agent,"Insurance Query,Document Request",Birmingham,19,1
89,Benjamin Quinn,6,Agent,"Insurance Query,Complaint",Birmingham,26,1
90,Bridget Ahmed,6,Agent,"Billing Issue,Insurance Query,Appointment Change",Birmingham,19,1
91,Emily Ali,6,Agent,"Document Request,Insurance Query",Birmingham,25,1
92,Bridget Harris,6,Team Lead,"Insurance Query,Appointment Change,Document Request",Birmingham,10,1
93,Ciarán Anderson,6,Agent,"Insurance Query,Billing Issue,Document Request",Birmingham,18,1
94,Neha Murray,6,Agent,"Complaint,Document Request",Birmingham,27,1
95,Alfie Okafor,6,Agent,"Complaint,Appointment Change",Birmingham,18,1
96,Angus Byrne,6,Agent,"Appointment Change,Billing Issue,Document Request",Birmingham,27,1
97,Dev Iqbal,6,Agent,Document Request,Birmingham,21,1
98,Catriona Kofi,6,Agent,"Complaint,Insurance Query",Birmingham,24,1
99,Freddie Begum,8,Agent,"Insurance Query,Complaint",Edinburgh,21,1
100,Seamus Iqbal,8,Agent,"Billing Issue,Complaint,Appointment Change",Edinburgh,28,1
101,Jacob Shah,8,Agent,Appointment Change,Edinburgh,22,1
102,Ananya Byrne,8,Senior Agent,"Document Request,Insurance Query,Billing Issue,Appointment Change",Edinburgh,18,1
103,Sophia Davies,8,Agent,"Document Request,Complaint,Billing Issue",Edinburgh,22,1
104,Sana Williams,8,Agent,"Insurance Query,Appointment Change,Complaint",Edinburgh,23,1
105,Declan Osei,8,Team Lead,"Document Request,Appointment Change,Complaint,Billing Issue",Edinburgh,13,1
106,Patrick Reid,8,Agent,"Complaint,Document Request,Appointment Change",Edinburgh,20,1
107,Arjun Wójcik,8,Agent,"Appointment Change,Billing Issue,Complaint",Edinburgh,23,1
108,Charlotte Kelly,8,Agent,"Appointment Change,Complaint,Document Request",Edinburgh,24,1
109,Charlie Ali,8,Agent,"Appointment Change,Complaint,Billing Issue",Edinburgh,24,1
110,Layla Ryan,8,Agent,"Complaint,Appointment Change",Edinburgh,27,1
111,Rhona Murphy,8,Senior Agent,"Complaint,Appointment Change,Document Request",Edinburgh,16,1
112,Yasmin Thompson,8,Agent,"Appointment Change,Complaint,Document Request",Edinburgh,22,1
113,Alexander Kamiński,8,Agent,"Billing Issue,Complaint,Insurance Query",Edinburgh,19,1
114,Parveen Robinson,8,Agent,"Complaint,Billing Issue",Edinburgh,24,1
115,Dev Murray,8,Agent,"Billing Issue,Appointment Change,Document Request",Edinburgh,27,1
116,Edward Wiśniewski,8,Agent,"Appointment Change,Insurance Query",Edinburgh,26,1
117,Parveen Campbell,8,Senior Agent,"Complaint,Insurance Query,Billing Issue,Document Request",Edinburgh,17,1
118,Noah MacDonald,8,Agent,"Complaint,Billing Issue,Document Request",Edinburgh,21,1
119,Ava Kowalczyk,8,Team Lead,"Complaint,Billing Issue,Document Request,Appointment Change",Edinburgh,13,1
120,Emily Zieliński,8,Agent,Complaint,Edinburgh,23,1
